timestamp,ang_vel_x,ang_vel_y,ang_vel_z,lin_vel_x,lin_vel_y,lin_vel_z,force_x,force_y,force_z,moment_x,moment_y,moment_z,action_thrust,action_roll,action_pitch,action_yaw
0.05625002086162567,1.359182,3.0731957,4.732806,0.12994519,-0.15483485,-0.32748005,-0.0,0.0,0.55644244,-0.0013591821,-0.003073196,-0.0047328062,9.81,0.0,0.0,0.0
0.05833335593342781,1.2624338,2.9299355,4.603927,0.13582116,-0.16292515,-0.3318941,-0.0,0.0,0.57572067,-0.0012624338,-0.0029299357,-0.0046039275,9.81,0.0,0.0,0.0
0.06041669100522995,1.1725273,2.7932663,4.4786453,0.14164619,-0.17107698,-0.3358201,-0.0,0.0,0.5949587,-0.0011725273,-0.0027932664,-0.0044786455,9.81,0.0,0.0,0.0
0.06250002235174179,1.0890503,2.6628644,4.3568406,0.14741722,-0.17928538,-0.33926272,-0.0,0.0,0.6141567,-0.0010890503,-0.0026628645,-0.0043568406,9.81,0.0,0.0,0.0
0.06458335369825363,1.0116003,2.5383892,4.238394,0.15313205,-0.18754625,-0.34222734,-0.0,0.0,0.6333147,-0.0010116003,-0.0025383893,-0.004238394,9.81,0.0,0.0,0.0
0.06666668504476547,0.9397805,2.4194942,4.1231914,0.15878901,-0.195856,-0.34471792,-0.0,0.0,0.6524328,-0.0009397805,-0.0024194943,-0.0041231913,9.81,0.0,0.0,0.0
0.06875001639127731,0.87319934,2.3058317,4.0111156,0.16438669,-0.20421106,-0.34673917,-0.0,0.0,0.67151105,-0.0008731994,-0.0023058318,-0.0040111155,9.81,0.0,0.0,0.0
0.07083334773778915,0.81147647,2.1970704,3.9020574,0.16992411,-0.21260843,-0.3482946,-0.0,0.0,0.69054955,-0.0008114765,-0.0021970705,-0.0039020577,9.81,0.0,0.0,0.0
0.072916679084301,0.75424635,2.0929003,3.795911,0.17540078,-0.22104478,-0.3493887,-0.0,0.0,0.7095484,-0.0007542464,-0.0020929005,-0.0037959113,9.81,0.0,0.0,0.0
0.07500001043081284,0.7011683,1.9930476,3.6925871,0.1808163,-0.22951776,-0.35002464,-0.0,0.0,0.7285077,-0.0007011683,-0.0019930478,-0.0036925874,9.81,0.0,0.0,0.0
0.07708334177732468,0.6519261,1.8972644,3.5919898,0.18617056,-0.23802485,-0.35020554,-0.0,0.0,0.74742746,-0.00065192615,-0.0018972645,-0.0035919899,9.81,0.0,0.0,0.0
0.07916667312383652,0.6062375,1.8053446,3.4940417,0.19146389,-0.2465635,-0.3499353,-0.0,0.0,0.76630783,-0.0006062375,-0.0018053447,-0.0034940417,9.81,0.0,0.0,0.0
0.08125000447034836,0.5638486,1.7171128,3.3986657,0.1966965,-0.25513172,-0.34921625,-0.0,0.0,0.78514886,-0.00056384865,-0.0017171128,-0.003398666,9.81,0.0,0.0,0.0
0.0833333358168602,0.52453643,1.6324297,3.305798,0.20186923,-0.26372743,-0.34805188,-0.0,0.0,0.8039506,-0.0005245365,-0.0016324298,-0.0033057982,9.81,0.0,0.0,0.0
0.08541666716337204,0.4880983,1.5511843,3.2153792,0.20698273,-0.27234858,-0.34644416,-0.0,0.0,0.8227132,-0.0004880983,-0.0015511843,-0.0032153793,9.81,0.0,0.0,0.0
0.08749999850988388,0.45435035,1.4732876,3.1273518,0.21203825,-0.28099346,-0.3443963,-0.0,0.0,0.8414367,-0.00045435037,-0.0014732877,-0.0031273519,9.81,0.0,0.0,0.0
0.08958332985639572,0.42311716,1.3986728,3.041668,0.21703687,-0.2896604,-0.3419098,-0.0,0.0,0.8601212,-0.0004231172,-0.0013986729,-0.003041668,9.81,0.0,0.0,0.0
0.09166666120290756,0.39422864,1.3272865,2.958275,0.22197998,-0.29834813,-0.3389871,-0.0,0.0,0.8787668,-0.00039422864,-0.0013272866,-0.0029582751,9.81,0.0,0.0,0.0
0.0937499925494194,0.3675148,1.259089,2.8771334,0.2268692,-0.30705518,-0.33563015,-0.0,0.0,0.8973735,-0.00036751482,-0.0012590891,-0.0028771334,9.81,0.0,0.0,0.0
0.09583332389593124,0.34280366,1.1940453,2.7981932,0.23170619,-0.31577995,-0.33184028,-0.0,0.0,0.9159415,-0.0003428037,-0.0011940454,-0.0027981934,9.81,0.0,0.0,0.0
0.09791665524244308,0.31992313,1.1321275,2.7214181,0.23649298,-0.32452178,-0.3276195,-0.0,0.0,0.9344708,-0.00031992316,-0.0011321276,-0.0027214182,9.81,0.0,0.0,0.0
