timestamp,ang_vel_x,ang_vel_y,ang_vel_z,moment_x,moment_y,moment_z
0.0,10.0,0.0,0.0,-0.010000001,0.0,0.0
0.0020833334419876337,9.255343,0.0068365415,-1.2801975e-07,-0.009255344,-6.8365416e-06,1.2801976e-10
0.004166666883975267,8.77637,0.008742448,-1.2625455e-07,-0.00877637,-8.742449e-06,1.2625455e-10
0.006250000558793545,8.32297,0.01061691,-9.546766e-08,-0.008322971,-1.061691e-05,9.546767e-11
0.008333333767950535,7.8931246,0.01228382,-3.033692e-08,-0.007893125,-1.228382e-05,3.033692e-11
0.010416666977107525,7.486027,0.013569531,-6.226753e-08,-0.007486027,-1.3569532e-05,6.226753e-11
0.012500000186264515,7.1008506,0.014338398,-1.1701303e-08,-0.007100851,-1.4338399e-05,1.1701304e-11
0.014583333395421505,6.7367096,0.014507217,-3.9548922e-08,-0.0067367097,-1.4507218e-05,3.9548923e-11
0.01666666753590107,6.3926225,0.014052644,-3.9196834e-08,-0.006392623,-1.4052645e-05,3.9196837e-11
0.01875000074505806,6.067556,0.013009496,-5.2324708e-08,-0.0060675563,-1.3009497e-05,5.232471e-11
0.02083333395421505,5.760396,0.011462084,-5.9163085e-08,-0.0057603964,-1.1462084e-05,5.916309e-11
0.02291666716337204,5.4700184,0.0095304,-7.926519e-08,-0.005470019,-9.5304e-06,7.92652e-11
0.02500000037252903,5.1952877,0.007353314,-1.0321844e-07,-0.005195288,-7.3533147e-06,1.0321845e-10
0.02708333358168602,4.935115,0.0050721494,-1.5341209e-07,-0.004935115,-5.0721496e-06,1.534121e-10
0.02916666679084301,4.688464,0.002816192,-1.903478e-07,-0.0046884646,-2.8161921e-06,1.9034782e-10
0.03125,4.454392,0.00069247716,-2.048723e-07,-0.004454392,-6.924772e-07,2.048723e-10
0.03333333507180214,4.232039,-0.0012194117,-2.1466602e-07,-0.004232039,1.2194118e-06,2.1466602e-10
0.03541667014360428,4.0206413,-0.002868004,-2.3356552e-07,-0.0040206416,2.868004e-06,2.3356553e-10
0.03750000521540642,3.8195236,-0.0042261775,-2.2056497e-07,-0.0038195238,4.2261777e-06,2.2056498e-10
0.03958334028720856,3.6280744,-0.0052850745,-1.9373988e-07,-0.0036280747,5.2850746e-06,1.9373989e-10
0.041666675359010696,3.4457393,-0.0060466668,-1.8158244e-07,-0.0034457394,6.046667e-06,1.8158244e-10
0.043750010430812836,3.2720146,-0.006516965,-1.7725006e-07,-0.0032720147,6.5169656e-06,1.7725006e-10
0.045833345502614975,3.1064146,-0.006701201,-1.6260037e-07,-0.0031064148,6.7012015e-06,1.6260038e-10
0.047916680574417114,2.9484892,-0.006601448,-1.4071566e-07,-0.0029484893,6.6014486e-06,1.4071566e-10
0.050000015646219254,2.797813,-0.006217246,-1.376875e-07,-0.0027978132,6.217246e-06,1.376875e-10
0.05208335071802139,2.6539907,-0.0055484087,-1.3015233e-07,-0.0026539909,5.548409e-06,1.3015233e-10
0.05416668578982353,2.5166733,-0.0045996592,-1.6127342e-07,-0.0025166734,4.5996594e-06,1.6127343e-10
0.05625002086162567,2.3855507,-0.0033856872,-1.8113406e-07,-0.0023855509,3.3856875e-06,1.8113407e-10
0.05833335593342781,2.260377,-0.0019355617,-2.0168682e-07,-0.002260377,1.9355618e-06,2.0168682e-10
0.06041669100522995,2.1409593,-0.00029543805,-2.1925734e-07,-0.0021409593,2.9543807e-07,2.1925735e-10
0.06250002235174179,2.0271595,0.0014709781,-2.2280983e-07,-0.0020271596,-1.4709782e-06,2.2280984e-10
